id;rubric_id;Наименование;Цена;ИмяФайлаИзображения;Ед. изм.;Ду;Масса, кг;Мощность, Вт;Примечание;Описание;Напряжение, В;Изготовитель;Конструкционные особенности;Напряжение В, 50 Гц;Номинальный ток, Ih (A);Габаритные размеры, мм;Применение;Область применения;Артикул произв.;Длина, м;Диаметр наружный, мм;Комплект поставки;Размер;Высота, мм;Обьём, л;Производитель;L, мм;Страна изготовитель;Длина, мм;Ширина, мм;B, мм;Присоединение;Ру, МПа;Кол-во секций;Тип;Толщ. стенки, мм;D трубы наружный, мм;DN, мм;d наружный ;d внутренний;Масса 1 м.п., кг;Резьба;Габаритные размеры;Мощность, кВт;Частота вращения, об/мин;Класс защиты;**;Пропускная способность л/с;Цвет;Материал;Толщина стенки S, мм;Регламентирующий документ;номинальная нагрузка;Полное открытие;Давление, bar;Температура, С ;Номинальный расход, м3/час Qn;Длина ножки;Длина шкалы, мм;Q nom, м3/час;H nom, м;Dу фланца;Номинальны напор, м;Напор, м;Подача, м3/ч;Монтажная длина/высота, мм;Патрубок вход/выход, DN;Насос;Напорный патрубок, Ду;Материал корпуса;Глубина, мм;Тип затвора;Объем, мл;Управление;КПД;Кол-во контуров;Высота Н закрыто, мм;Высота Н1 открыто, мм;Вес, кг;Kvs, м3/ч;Полная высота клапана с приводом, мм;Тип привода;Kvy, м3/час;Калибровка (bar);Материал уплотнения;Резьба, дюймы;Время поворота, с;Максимальное растяжение, Lе;Межосевое расстояние;Межцентровое расстояние;Номинальный тепловой поток 1 секции, кВт;H, мм;Ду (стальная труба), мм;D наружный ;D2 наружный, мм;Толщина стенки s, мм;R,мм;Толщина, мм;Для труб стальных Ду;Обозначение по ГОСТ;Ширина полки, мм;Размер ячейки;Крепеж;Резьба, мм;Длина излива,мм
8369;8360;Колено (отвод) ПП для внутр. канализации;0;koleno_pp_vn_kanal_certus.jpg;шт;110х90°;0,232;;;;;Certus;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111695;8371;Крестовина ПП для внутр. канализации;4,44;Krestovina_2xplosk_110_110_50_50_875_Tryby_vnytr_kanaliz.jpg;шт;110х50х87,5°;0,200;;;;;Филд-А;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111696;8371;Крестовина ПП двухплоскатная для внутр. канализации;13,50;Krestovina_2xplosk_110_110_50_50_875_Tryby_vnytr_kanaliz.jpg;шт;110х110х50х50х87,5°;0,295;;;;;Филд-А;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111697;8371;Крестовина ПП двухплоскатная левая для внутр. канализации;9,84;Krestovina_2xplosk_110_110_50_875_levaya_Tryby_vnytr_kanaliz.jpg;шт;110х110х50х50х87,5°;0,270;;;;;ФД-пласт;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111698;8371;Крестовина ПП двухплоскатная правая для внутр. канализации;9,84;Krestovina_2xplosk_110_110_50_875_pravaya_Tryby_vnytr_kanaliz.jpg;шт;110х110х50х50х87,5°;0,270;;;;;ФД-пласт;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8373;108837;Крестовина ПП 2-х пл. левая для внутр. канализ.;0;Krestoviny_dvyxploskostnye_PP_certus_levaya.jpg;шт;110х50;0,450;;;;;Certus;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8374;108837;Крестовина ПП 2-х пл. правая для внутр. канализ.;0;Krestoviny_dvyxploskostnye_PP_certus_pravaya.jpg;шт;110х50;0,450;;;;;Certus;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105751;108837;Крестовина ПП 2-х пл. правая/левая для внутр. канализ.;0;Krestoviny_dvyxploskostnye_PP_certus.jpg;шт;110х110;0,550;;;;;Certus;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8378;108836;Крестовина ПП для внутр. канализации;0;krestovina_pp_vnytr_kan_certus.jpg;шт;50х50х45°;0,120;;;;;Certus;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8379;108836;Крестовина ПП для внутр. канализации;0;krestovina_pp_vnytr_kan_certus.jpg;шт;50х50х67°;0,250;;;;;Certus;;;;;;Системы наружной, внутренней канализации и дренажа;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
